entity_id,state,last_changed
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:48:18.798Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:48:23.798Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:48:28.799Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:48:33.804Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.0,2025-10-14T12:48:38.806Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:48:43.807Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:48:50.801Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:48:57.807Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:49:39.808Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:49:46.809Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:50:03.811Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:50:08.811Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:50:28.813Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:50:35.814Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:50:45.815Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:51:03.818Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:51:08.818Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:51:13.820Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:51:27.823Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:51:34.824Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:51:38.275Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:51:59.827Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:52:06.828Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:52:16.830Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.317,2025-10-14T12:52:55.839Z
sensor.bomba_de_circulacao_de_agua_quente_corrente,0.323,2025-10-14T12:52:58.378Z
